X_INDEX;Y_INDEX;GRID005ID;AOI;X_MIN;X_CENTER;X_MAX;Y_MIN;Y_CENTER;Y_MAX;SHAPE_AREA;SHAPE_LENG;INDEX_LABE;PRE_1980;POST_1980;LOW_RISE;MID_RISE;HIGH_RISE;MODERATE;M5;M2_ADOBE;STONE;ALL_YEAR;TYPE;RISE;TOTAL;RC_L;M1_L;M2_L;M5_L;RC_M;M1_M;M2_M;M5_M;RC_H;M1_H;M2_H;M5_H;TOTAL_BLD;POPULATION
563;828;5630828;1;28.150000;28.175000;28.200000;41.400000;41.425000;41.450000;0.002500;0.200000;0;69.574160;142.563393;210.322890;1.793451;0.000000;133.614010;74.453439;0.463175;3.587644;212.137553;420.668176000000000;212.116341;212.116341;132.484299;3.557310;0.459259;73.823933;1.129711;0.030334;0.003916;0.629506;0.000000;0.000000;0.000000;0.000000;212.118268;2818
564;828;5640828;1;28.200000;28.225000;28.250000;41.400000;41.425000;41.450000;0.002500;0.200000;0;11.678018;23.929255;35.302682;0.301031;0.000000;22.427102;12.497004;0.077744;0.602186;35.607273;70.609123000000000;35.603712;35.603712;22.237480;0.597094;0.077087;12.391342;0.189622;0.005092;0.000657;0.105663;0.000000;0.000000;0.000000;0.000000;35.604037;473
565;828;5650828;1;28.250000;28.275000;28.300000;41.400000;41.425000;41.450000;0.002500;0.200000;0;3.900900;7.993277;11.792432;0.100556;0.000000;7.491501;4.174472;0.025969;0.201153;11.894177;23.586119000000000;11.892987;11.892987;7.428160;0.199452;0.025750;4.139177;0.063341;0.001701;0.000220;0.035295;0.000000;0.000000;0.000000;0.000000;11.893096;158
566;828;5660828;1;28.300000;28.325000;28.350000;41.400000;41.425000;41.450000;0.002500;0.200000;0;10.912596;22.360840;32.988809;0.281300;0.000000;20.957144;11.677903;0.072648;0.562716;33.273436;65.981130000000000;33.270109;33.270109;20.779950;0.557958;0.072034;11.579166;0.177193;0.004758;0.000614;0.098737;0.000000;0.000000;0.000000;0.000000;33.270410;442
567;828;5670828;1;28.350000;28.375000;28.400000;41.400000;41.425000;41.450000;0.002500;0.200000;0;73.277527;150.151909;221.518181;1.888915;0.000000;140.726159;78.416526;0.487829;3.778611;223.429436;443.059950000000000;223.407096;223.407096;139.536314;3.746663;0.483705;77.753511;1.189845;0.031948;0.004125;0.663014;0.000000;0.000000;0.000000;0.000000;223.409125;2968
568;828;5680828;1;28.400000;28.425000;28.450000;41.400000;41.425000;41.450000;0.002500;0.200000;0;20.368572;41.736944;61.574254;0.525052;0.000000;39.116917;21.797033;0.135599;1.050321;62.105516;123.155065000000000;62.099306;62.099306;38.786182;1.041440;0.134453;21.612738;0.330735;0.008880;0.001146;0.184295;0.000000;0.000000;0.000000;0.000000;62.099869;825
569;828;5690828;1;28.450000;28.475000;28.500000;41.400000;41.425000;41.450000;0.002500;0.200000;0;26.269273;53.827983;79.412090;0.677157;0.000000;50.448945;28.111554;0.174882;1.354595;80.097257;158.832637000000000;80.089248;80.089248;50.022397;1.343142;0.173403;27.873870;0.426548;0.011453;0.001479;0.237684;0.000000;0.000000;0.000000;0.000000;80.089976;1064
544;820;5440820;0;27.200000;27.225000;27.250000;41.000000;41.025000;41.050000;0.002500;0.200000;0;134.143325;259.915712;300.653011;88.027414;5.378611;314.023785;61.380561;12.026120;6.628570;394.059037;781.489504000000000;394.059037;394.059037;239.588965;5.057363;9.175502;46.831182;70.148630;1.480732;2.686471;13.711580;4.286190;0.090475;0.164148;0.837799;394.059037;3023
545;820;5450820;0;27.250000;27.275000;27.300000;41.000000;41.025000;41.050000;0.002500;0.200000;0;104.102069;201.707864;233.322088;68.313768;4.174077;243.698491;47.634450;9.332884;5.144109;305.809933;606.475758000000000;305.809933;305.809933;185.933270;3.924772;7.120658;36.343389;54.438919;1.149124;2.084839;10.640886;3.326302;0.070213;0.127387;0.650175;305.809934;2346
546;820;5460820;0;27.300000;27.325000;27.350000;41.000000;41.025000;41.050000;0.002500;0.200000;0;91.677254;177.633579;205.474574;60.160367;3.675892;214.612530;41.949171;8.218983;4.530148;269.310833;534.091517000000000;269.310833;269.310833;163.741718;3.456342;6.270791;32.005724;47.941512;1.011973;1.836009;9.370873;2.929301;0.061833;0.112183;0.572575;269.310834;2066
